Prompt,ChatGPTScore
"# Working set

src/frontend/getBaseUrl.js:
```
export const getBaseUrl = () => {
    const queryString = window.location.search;
    const urlParams = new URLSearchParams(queryString);
    const baseUrl = urlParams.get('baseUrl');

    return baseUrl || 'http://localhost:10101';
};

```

src/frontend/service/createWebSocket.js:
```
export const createWebSocket = () => {
  const ws = new WebSocket('ws://localhost:3000');
  return ws;
};

```


# Task

Implement the following feature!

- Create a plan!
- Create new files when needed!
- Every js file should only export a single function!
- Use ES6 imports!

Requirements:

Use getBaseUrl instead of hardcoding the URL.
Derive the correct ws protocol from the base url!



# Output Format

Encode and enclose your results as ./change.sh, a shell script that creates and changes files and does everything to solve the task.
Files are small, prefer heredoc-ing full files without substitution.
Assume OSX.
npm and jq are installed.
Do NOT write any text outside the script (the plan goes into it)!


EXAMPLE START

```sh
#!/bin/sh
# Goal: [Task description, max 7 words]
# Plan:
# 1. [...]

[Commands solving the task]
```

EXAMPLE END

",74
"You are AI Junior, you code like Donald Knuth.
# Working set

./src/backend/startServer.js:
```
import express from 'express';
import cors from 'cors';
import { createServer } from 'http';
import { WebSocketServer } from 'ws';
import { setupRoutes } from './setupRoutes.js';
import { notifyOnFileChange } from './notifyOnFileChange.js';
import { getServerPort } from './serverConfig.js';
import hostConfig from '../config/hostConfig.js';

export function startServer() {
  const app = express();

  app.use(cors());
  app.use(express.json());

  const server = createServer(app);
  const wss = new WebSocketServer({ server });

  notifyOnFileChange(wss);

  setupRoutes(app);

  const { enabled, ip } = hostConfig();

  const port = getServerPort();
  server.listen(port, ip || (enabled ? '0.0.0.0' : undefined), () => {
    console.log('Server is running on port', port);
  });
}

```

./src/backend/setupRoutes.js:
```
import { setupGitRoutes } from './routes/setupGitRoutes.js';
import { setupPromptRoutes } from './routes/setupPromptRoutes.js';
import { executeHandler } from './handlers/executeHandler.js';
import { configHandler } from './handlers/configHandler.js';
import { setupFilesRoutes } from './routes/setupFilesRoutes.js';  // Added this line

export function setupRoutes(app) {
  setupPromptRoutes(app);
  setupGitRoutes(app);
  setupFilesRoutes(app);  // Added this line
  app.post('/execute', executeHandler);
  app.get('/config', configHandler);
}

```


# Task

Implement the following feature!

- Create a plan!
- Create new files when needed!

Requirements:

- Create backend/terminal/ directory
- Write a backend server to be used with xterm.js.
- Design the communication protocol.
- Start the server automatically during app init.


## Project Specifics

- Every js file should *only export a single function or signal, as default*! eg.: in createGitRepo.js: export default function createGitRepo ( ....
- Use *ES6 imports*!
- Prefer *async/await* over promises!
- The frontend uses *Solidjs* and Tailwind, edit .jsx files accordingly!

# Output Format

Encode and enclose your results as ./change.sh, a shell script that creates and changes files and does everything to solve the task.
Files are small, avoid using sed in favor of heredoc-ing full files.

OS: OSX

Installed tools: npm, jq


Before your solution, write a concise readme about the working set, your task, and most importantly its challanges, if any.


EXAMPLE START
```sh
#!/bin/sh
set -e
goal=[Task description, max 9 words]
echo ""Plan:""
echo ""1. [...]""
cat > x.js << 'EOF'
[...]
'EOF'
echo ""\033[32mDone: $goal\033[0m\n""
```
EXAMPLE END

Before starting, check if you need more files or info to solve the task.

If the task is not clear:

EXAMPLE START
I need more information to solve the task. [Description of the missing info]
EXAMPLE END

Do not edit files not provided in the working set!
If you need more files:

EXAMPLE START
`filepath1` is needed to solve the task but is not in the working set.
EXAMPLE END


",90
"You are AI Junior, you code like Donald Knuth.
# Working set

./src/frontend/service/useWebsocket.js:
```
import { createEffect } from 'solid-js';
import { createWebSocket } from './createWebSocket.js';

export const useWebsocket = (onMessage) => {
  let socket = createWebSocket();

  socket.onopen = () => console.log('WebSocket is connected');
  socket.onmessage = onMessage;
  socket.onerror = (error) => console.log('WebSocket error:', error);

  createEffect(() => {
    if (!socket || socket.readyState === WebSocket.CLOSED) {
      socket = createWebSocket();
      socket.onmessage = onMessage;
    }
  });

  return () => {
    if (socket && socket.readyState === WebSocket.OPEN) {
      socket.close();
    }
  };
};

```

./src/frontend/service/createWebSocket.js:
```
import { getBaseUrl } from '../getBaseUrl.js';

export const createWebSocket = () => {
  const baseUrl = getBaseUrl();
  const wsUrl = baseUrl.replace(/^http/, 'ws');
  const ws = new WebSocket(wsUrl);
  return ws;
};

```

./src/backend/startServer.js:
```
import express from 'express';
import cors from 'cors';
import { createServer } from 'http';
import { WebSocketServer } from 'ws';
import { setupRoutes } from './setupRoutes.js';
import { notifyOnFileChange } from './notifyOnFileChange.js';
import { getServerPort } from './serverConfig.js';
import hostConfig from '../config/hostConfig.js';

export function startServer() {
  const app = express();

  app.use(cors());
  app.use(express.json());

  const server = createServer(app);
  const wss = new WebSocketServer({ server });

  notifyOnFileChange(wss);

  setupRoutes(app);

  const { enabled, ip } = hostConfig();

  const port = getServerPort();
  server.listen(port, ip || (enabled ? '0.0.0.0' : undefined), () => {
    console.log('Server is running on port', port);
  });
}

```


# Task

Answer the following question!

We need a terminal on the frontend. We already have a websocket server, we should use it.
What are the best tools on either side? We prefer not to install anything, but don't yet want to write much code. Write your answer to docs/design/terminal_dependency_selection.md

# Output Format

Encode and enclose your results as ./change.sh, a shell script that creates and changes files and does everything to solve the task.
Files are small, avoid using sed in favor of heredoc-ing full files.

OS: OSX

Installed tools: npm, jq


Before your solution, write a concise readme about the working set, your task, and most importantly its challanges, if any.


EXAMPLE START
```sh
#!/bin/sh
set -e
goal=[Task description, max 9 words]
echo ""Plan:""
echo ""1. [...]""
cat > x.js << 'EOF'
[...]
'EOF'
echo ""\033[32mDone: $goal\033[0m\n""
```
EXAMPLE END

Before starting, check if you need more files or info to solve the task.

If the task is not clear:

EXAMPLE START
I need more information to solve the task. [Description of the missing info]
EXAMPLE END

Do not edit files not provided in the working set!
If you need more files:

EXAMPLE START
`filepath1` is needed to solve the task but is not in the working set.
EXAMPLE END


",96
"You are AI Junior, you code like Donald Knuth.
# Working set

./src/backend/fileutils/getIgnoreList.js:
```
function getIgnoreList() {
  const DEFAULT_IGNORE = ['.git', 'node_modules', './prompt'];

  const cliArgs = process.argv.slice(2);
  const cliIgnore = cliArgs
    .filter(arg => arg.startsWith('--ignore='))
    .map(arg => arg.replace('--ignore=', '').split(','))
    .flat();

  const envIgnore = process.env.JUNIOR_IGNORE ? process.env.JUNIOR_IGNORE.split(',') : [];

  const totalIgnore = [...DEFAULT_IGNORE, ...cliIgnore, ...envIgnore];

  const nameIgnore = totalIgnore.filter(item => !item.startsWith('./'));
  const pathIgnore = totalIgnore.filter(item => item.startsWith('./')).map(item => item.slice(2));

  return { nameIgnore, pathIgnore };
}

export default getIgnoreList;


```


# Task

Implement the following feature!

- Create a plan!
- Create new files when needed!

Requirements:

Add ""dist"", ""build"", ""tmp"", ""temp"" and at least 5 but up to 100 reasonable entries to the ignore list!


## Project Specifics

- Every js file should *only export a single function or signal, as default*! eg.: in createGitRepo.js: export default function createGitRepo ( ....
- Use *ES6 imports*!
- Prefer *async/await* over promises!
- The frontend uses *Solidjs* and Tailwind, edit .jsx files accordingly!

# Output Format

Encode and enclose your results as ./change.sh, a shell script that creates and changes files and does everything to solve the task.
Files are small, avoid using sed in favor of heredoc-ing full files.

OS: OSX

Installed tools: npm, jq


Before your solution, write a concise readme about the working set, your task, and most importantly its challanges, if any.


EXAMPLE START
```sh
#!/bin/sh
set -e
goal=[Task description, max 9 words]
echo ""Plan:""
echo ""1. [...]""
cat > x.js << 'EOF'
[...]
'EOF'
echo ""\033[32mDone: $goal\033[0m\n""
```
EXAMPLE END

Before starting, check if you need more files or info to solve the task.

If the task is not clear:

EXAMPLE START
I need more information to solve the task. [Description of the missing info]
EXAMPLE END

Do not edit files not provided in the working set!
If you need more files:

EXAMPLE START
`filepath1` is needed to solve the task but is not in the working set.
EXAMPLE END


",85
"You're the 'Contributor', an AI system aiding authors.

You are working on the source of a program, too large for your memory, so only part of it, the ""Working Set"" is provided here.

You will see a partial directory structure. Ask for the contents of subdirs marked with /... if needed.

Some files are printed in the working set.

Other files are only listed in their dir, so you know they exists. Do not edit files without knowing their current content, ask for their contents instead!

# Working set

```
./
?????€??€ .git/...
?????€??€ .gitignore
?????€??€ README.md
?????€??€ babel.config.js
?????€??€ change.sh
?????€??€ doc/...
?????€??€ node_modules/...
?????€??€ package-lock.json
?????€??€ package.json
?????€??€ prompt/...
?????€??€ prompt.md
?????€??€ prompt.yaml
?????€??€ secret.sh
?????€??€ src/...

```
package.json:
```
{
  ""name"": ""@aijunior/dev"",
  ""version"": ""0.0.1"",
  ""description"": ""Your AI Contributor"",
  ""type"": ""module"",
  ""main"": ""src/main.js"",
  ""bin"": {
    ""junior"": ""src/main.js"",
    ""junior-web"": ""npm start""
  },
  ""scripts"": {
    ""cli"": ""node src/main.js"",
    ""start"": ""node src/backend/server.js --prompt=prompt.yaml -s & vite src --open ""
  },
  ""keywords"": [
    ""cli"",
    ""uppercase""
  ],
  ""author"": """",
  ""license"": ""GPL"",
  ""dependencies"": {
    ""autoprefixer"": ""^10.4.14"",
    ""chatgpt"": ""^5.2.4"",
    ""clipboard-copy"": ""^4.0.1"",
    ""cors"": ""^2.8.5"",
    ""ejs"": ""^3.1.9"",
    ""express"": ""^4.18.2"",
    ""js-yaml"": ""^4.1.0"",
    ""marked"": ""^5.1.0"",
    ""postcss"": ""^8.4.24"",
    ""solid-js"": ""^1.7.7"",
    ""tailwindcss"": ""^3.3.2"",
    ""vite"": ""^4.3.9"",
    ""vite-plugin-solid"": ""^2.7.0""
  },
  ""directories"": {
    ""doc"": ""doc""
  },
  ""repository"": {
    ""type"": ""git"",
    ""url"": ""git+https://github.com/tisztamo/Junior.git""
  },
  ""bugs"": {
    ""url"": ""https://github.com/tisztamo/Junior/issues""
  },
  ""homepage"": ""https://github.com/tisztamo/Junior#readme"",
  ""devDependencies"": {
    ""babel-preset-solid"": ""^1.7.7""
  }
}

```

src/backend/server.js:
```
import express from 'express';
import cors from 'cors';
import { generateHandler, descriptorHandler, taskUpdateHandler } from './handlers.js';
import { listTasks } from './listTasks.js';

const app = express();

app.use(cors());
app.use(express.json());

app.get('/descriptor', descriptorHandler);
app.get('/tasks', (req, res) => res.json({ tasks: listTasks() }));

app.post('/generate', generateHandler);
app.post('/updatetask', taskUpdateHandler);

app.listen(3000, () => {
  console.log('Server is running on port 3000');
});

```


# Task

Implement the following feature!

- Create a plan!
- Create new files when needed!
- Every js file should only export a single function!
- Use ES6 imports!

Requirements:

A single js file called web.js is needed that starts both the server and vite, so that the &#34;start&#34; script can look like &#34;start&#34;: &#34;node src/web.js&#34;. Both the server and vite runs indefinitely, their output needs to be forwarded to the console of the &#34;node web.js&#34; process and they should be stopped when that process stops. Separate the start of them to files startServer.js and startVite.js.



# Output Format

Encode and enclose your results as ./change.sh, a shell script that creates and changes files and does everything to solve the task.
Files are small, prefer heredoc-ing full files without substitution.
Assume OSX.
npm and jq are installed.
Do NOT write any text outside the script (the plan goes into it)!


EXAMPLE START

```sh
#!/bin/sh
# Goal: [Task description, max 7 words]
# Plan:
# 1. [...]

[Commands solving the task]
```

EXAMPLE END

",90
"You are AI Junior, you code like Donald Knuth.
# Working set

./src/frontend/components/GitStatusRow.jsx:
```
import getBackgroundColorForFile from './getBackgroundColorForFile';

const GitStatusRow = (props) => {
  const { index, path, working_dir } = props.entry;

  // Split the path to get filename and base directory
  const splitPath = path.split('/');
  const fileName = splitPath.pop();
  const baseDir = splitPath.join('/');

  const bgColor = getBackgroundColorForFile(index, path);
  return (
    <div class={`flex ${bgColor ? 'bg-' + bgColor : ''}`}>
      <span class=""w-50px overflow-x-auto"">{index + ' ' + working_dir}</span>
      <span class=""flex-grow w-60% overflow-x-auto"">{fileName}</span>
      <span class=""flex-shrink overflow-x-auto"">{baseDir}</span>
    </div>
  );
};

export default GitStatusRow;

```

./src/frontend/components/MultiSelect/ListItem.jsx:
```
import { createEffect } from ""solid-js"";
import useLongTap from ""./LongTapDetector"";

const ListItem = (props) => {
  let pathRef;
  const uniqueId = `item-${Math.random().toString(36).substr(2, 9)}`;
  const longTapActions = useLongTap(() => props.onLongTap(props.item));

  createEffect(() => {
    if (pathRef) {
      pathRef.scrollLeft = pathRef.scrollWidth;
    }
  });

  const handleClick = () => {
    if (typeof props.onItemClick === 'function') {
      props.onItemClick(props.item, uniqueId);
    }
  };

  const [filename, ...pathParts] = props.item.split('/').reverse();
  const directory = pathParts.reverse().join('/');

  return (
    <div id={uniqueId} onClick={handleClick} {...longTapActions} class=""flex justify-between items-center w-full font-mono cursor-pointer"">
      <span class=""text-base bg-main rounded p-1"">{filename}</span>
      <span ref={pathRef} class=""overflow-x-auto whitespace-no-wrap break-keep scrollbar-hidden ml-4 py-2 text-sm"">{directory}</span>
    </div>
  );
};

export default ListItem;

```


# Task

Implement the following feature!

- Create a plan!
- Create new files when needed!

Requirements:

In git status, set styles for filename and dir exactly as in ListItem. The first column should use what it needs and p-1. Do not create new files.


## Project Specifics

- Every js file should *only export a single function or signal, as default*! eg.: in createGitRepo.js: export default function createGitRepo ( ....
- Use *ES6 imports*!
- Prefer *async/await* over promises!
- The frontend uses *Solidjs* and Tailwind, edit .jsx files accordingly!

# Output Format

Encode and enclose your results as ./change.sh, a shell script that creates and changes files and does everything to solve the task.
Files are small, avoid using sed in favor of heredoc-ing full files.

OS: OSX

Installed tools: npm, jq


Do NOT write any text outside the script!

EXAMPLE START
```sh
#!/bin/sh
set -e
goal=[Task description, max 9 words]
echo ""Plan:""
echo ""1. [...]""
cat > x.js << 'EOF'
[...]
'EOF'
echo ""\033[32mDone: $goal\033[0m\n""
```
EXAMPLE END

Before starting, check if you need more files or info to solve the task.

If the task is not clear:

EXAMPLE START
I need more information to solve the task. [Description of the missing info]
EXAMPLE END

Do not edit files not provided in the working set!
If you need more files:

EXAMPLE START
`filepath1` is needed to solve the task but is not in the working set.
EXAMPLE END


",85
"You are AI Junior, you code like Donald Knuth.
# Working set

./src/init.js:
```
#!/usr/bin/env node
import simpleGit from 'simple-git';
import { fileURLToPath } from 'url';
import { createPromptYaml } from './prompt/createPromptYaml.js';
import { createGitignore } from './git/createGitignore.js';
import { createPromptDir } from './prompt/createPromptDir.js';
import copyDefaults from './command/init/copyDefaults.js';
import path from 'path';

const git = simpleGit();

const __dirname = path.dirname(fileURLToPath(import.meta.url));

async function juniorInit() {
  const isRepo = await git.checkIsRepo();

  if (isRepo) {
    const status = await git.status();
    if (!status.isClean()) {
      console.error(""\x1b[31mDirectory is not clean. Please commit or stash changes and try again.\x1b[0m"");
      process.exit(1);
    }
  } else {
    await git.init();
  }

  createGitignore();
  await createPromptDir();
  createPromptYaml();

  const defaultsPath = path.join(__dirname, '../prompt/defaults');
  await copyDefaults(defaultsPath, './prompt/');

  await git.add('.');
  await git.commit(""Junior init"");

  console.log('\x1b[32mRepo initialized for Junior development\x1b[0m');
}

juniorInit();

```

./src/git/commitGit.js:
```
import { exec } from 'child_process';

export default function commitGit(message) {
  return new Promise((resolve, reject) => {
    exec(`git add . && git commit -m ""${message}""`, (err, stdout, stderr) => {
      if (err) {
        console.error(`exec error: ${err}`);
        reject(err);
        return;
      }
      console.log(`stdout: ${stdout}`);
      resolve(`Committed with message: ${message}`);
    });
  });
}

```


# Task

## Refactor by split

A file is too big. We need to split it into parts.
Identify the possible parts and refactor the code in separate files!

init.js should not use simple-git directly. We have  src/git/ dir, please create new files as needed and factor simple-git out.


## Project Specifics

- Every js file should *only export a single function or signal, as default*! eg.: in createGitRepo.js: export default function createGitRepo ( ....
- Use *ES6 imports*!
- Prefer *async/await* over promises!
- The frontend uses *Solidjs* and Tailwind, edit .jsx files accordingly!

# Output Format

Encode and enclose your results as ./change.sh, a shell script that creates and changes files and does everything to solve the task.
Files are small, avoid using sed in favor of heredoc-ing full files.

OS: OSX

Installed tools: npm, jq


Do NOT write any text outside the script!

EXAMPLE START
```sh
#!/bin/sh
set -e
goal=[Task description, max 9 words]
echo ""Plan:""
echo ""1. [...]""
cat > x.js << 'EOF'
[...]
'EOF'
echo ""\033[32mDone: $goal\033[0m\n""
```
EXAMPLE END

Before starting, check if you need more files or info to solve the task.

If the task is not clear:

EXAMPLE START
I need more information to solve the task. [Description of the missing info]
EXAMPLE END

Do not edit files not provided in the working set!
If you need more files:

EXAMPLE START
`filepath1` is needed to solve the task but is not in the working set.
EXAMPLE END


",81
"# Working set

```
./
?????€??€ .DS_Store
?????€??€ .git/...
?????€??€ .gitignore
?????€??€ .vscode/...
?????€??€ README.md
?????€??€ babel.config.js
?????€??€ change.sh
?????€??€ dist/...
?????€??€ doc/...
?????€??€ node_modules/...
?????€??€ package-lock.json
?????€??€ package.json
?????€??€ prompt/...
?????€??€ prompt.md
?????€??€ prompt.yaml
?????€??€ secret.sh
?????€??€ src/...
?????€??€ tmp/...

```
src/backend/listTasks.js:
```
import fs from 'fs';
import path from 'path';

import { fileURLToPath } from 'url';
import { dirname } from 'path';

const __filename = fileURLToPath(import.meta.url);
const __dirname = dirname(__filename);

function readDirRecursively(dir) {
    const files = [];

    fs.readdirSync(dir).forEach(file => {
        const filePath = path.join(dir, file);

        if (fs.statSync(filePath).isDirectory()) {
            files.push(...readDirRecursively(filePath));
        } else {
            files.push(filePath);
        }
    });

    return files;
}

export const listTasks = () => {
    const tasksDir = path.join(__dirname, '../../prompt/task');
    return readDirRecursively(tasksDir).map(file => path.relative(tasksDir, file));
};

```


# Task

## Refactor by split

A file is too big. We need to split it into parts.
Identify the possible parts and refactor the code in separate files!

Create backend/fileutils/readDirRecursively.js!



# Output Format

Encode and enclose your results as ./change.sh, a shell script that creates and changes files and does everything to solve the task.
Files are small, prefer heredoc-ing full files without substitution.
Assume OSX.
npm and jq are installed.
Do NOT write any text outside the script (the plan goes into it)!


EXAMPLE START

```sh
#!/bin/sh
# Goal: [Task description, max 7 words]
# Plan:
# 1. [...]

[Commands solving the task]
```

EXAMPLE END

",75
"# Working set

```
./
?????€??€ .DS_Store
?????€??€ .git/...
?????€??€ .gitignore
?????€??€ .vscode/...
?????€??€ README.md
?????€??€ babel.config.js
?????€??€ change.sh
?????€??€ dist/...
?????€??€ doc/...
?????€??€ node_modules/...
?????€??€ package-lock.json
?????€??€ package.json
?????€??€ prompt/...
?????€??€ prompt.md
?????€??€ prompt.yaml
?????€??€ secret.sh
?????€??€ src/...
?????€??€ tmp/...

```
./package.json:
```
{
  ""name"": ""gpcontrib"",
  ""version"": ""0.0.1"",
  ""description"": ""Build large documents with AI"",
  ""type"": ""module"",
  ""main"": ""src/main.js"",
  ""bin"": {
    ""contrib"": ""src/main.js""
  },
  ""scripts"": {
    ""cli"": ""node src/main.js"",
    ""start"": ""node src/backend/server.js --prompt=prompt.yaml -s & vite src --open ""
  },
  ""keywords"": [
    ""cli"",
    ""uppercase""
  ],
  ""author"": """",
  ""license"": ""GPL"",
  ""dependencies"": {
    ""autoprefixer"": ""^10.4.14"",
    ""chatgpt"": ""^5.2.4"",
    ""clipboard-copy"": ""^4.0.1"",
    ""cors"": ""^2.8.5"",
    ""ejs"": ""^3.1.9"",
    ""express"": ""^4.18.2"",
    ""js-yaml"": ""^4.1.0"",
    ""marked"": ""^5.1.0"",
    ""postcss"": ""^8.4.24"",
    ""solid-js"": ""^1.7.7"",
    ""tailwindcss"": ""^3.3.2"",
    ""vite"": ""^4.3.9"",
    ""vite-plugin-solid"": ""^2.7.0""
  },
  ""directories"": {
    ""doc"": ""doc""
  },
  ""repository"": {
    ""type"": ""git"",
    ""url"": ""git+https://github.com/tisztamo/contributor.git""
  },
  ""bugs"": {
    ""url"": ""https://github.com/tisztamo/contributor/issues""
  },
  ""homepage"": ""https://github.com/tisztamo/contributor#readme"",
  ""devDependencies"": {
    ""babel-preset-solid"": ""^1.7.7""
  }
}

```

```
./src/
?????€??€ attention/...
?????€??€ backend/...
?????€??€ config.js
?????€??€ execute/...
?????€??€ frontend/...
?????€??€ index.html
?????€??€ interactiveSession/...
?????€??€ main.js
?????€??€ prompt/...
?????€??€ vite.config.js

```

# Task

Implement the following feature!

- Create a plan!
- Create new files when needed!
- Every js file should only export a single function!
- Use ES6 imports!

Requirements:

Rename the project to @aijunior/dev



# Output Format

Encode and enclose your results as ./change.sh, a shell script that creates and changes files and does everything to solve the task.
Files are small, prefer heredoc-ing full files without substitution.
Assume OSX.
npm and jq are installed.
Do NOT write any text outside the script (the plan goes into it)!


EXAMPLE START

```sh
#!/bin/sh
# Goal: [Task description, max 7 words]
# Plan:
# 1. [...]

[Commands solving the task]
```

EXAMPLE END

",73
"# Working set

```
./
?????€??€ .DS_Store
?????€??€ .git/...
?????€??€ .gitignore
?????€??€ .vscode/...
?????€??€ README.md
?????€??€ babel.config.js
?????€??€ change.sh
?????€??€ dist/...
?????€??€ doc/...
?????€??€ node_modules/...
?????€??€ package-lock.json
?????€??€ package.json
?????€??€ prompt/...
?????€??€ prompt.md
?????€??€ prompt.yaml
?????€??€ secret.sh
?????€??€ src/...
?????€??€ tmp/...

```
./README.md:
```
Warn: This README is AI generated, just like all the source files of this project.

# The Contributor - Your AI contributor which writes itself.

## Description

The Contributor is an exploratory project aimed at revolutionizing the way programmers interact with the development process. Much like how Linus Thorwalds, the creator of the Linux Kernel, supervises its development without having to write code himself, this project allows developers to solely communicate with the AI and supervise the development process.

By detailing the specifics of a task in a prompt descriptor and highlighting the relevant parts of your project, you can delegate the implementation of code, documentation, tests, and more to your AI Contributor.

## Getting Started

### The Prompt Descriptor

A prompt descriptor is a YAML file (`prompt.yaml`) that outlines the necessary details for generating a task prompt for the AI model.

Here is an example of a prompt descriptor:

```yaml
task: prompt/task/feature/implement.md
attention:
  - src/interactiveSession/startInteractiveSession.js
  - src/prompt/createPrompt.js
  - src/attention/readAttention.js
  - prompt.yaml
requirements: >
  Write a README.md for this _exploratory_ project!
format: prompt/format/new_file_version.md
```

Each element in the descriptor serves a specific purpose:
- `task`: Describes the task type and scope. For example, you can check out the [prompt/task/implement.md](prompt/task/implement.md) file as an example.
- `attention`: Lists the files and directories that are most relevant to the task.
- `requirements`: Describes the actual task in a human-readable format.
- `format`: Determines how the output will be formatted. You can refer to the [prompt/format/new_file_version.md](prompt/format/new_file_version.md) file for an example.

### Attention Mechanism

The attention mechanism is an important part of this project. It guides the AI model by providing it with a working set, which helps overcome the limited working memory of large language models.

This working set is a subset of the entire project that's currently in focus. It includes both files and directories.

For files, the content is directly provided to the AI. For directories, a brief list of files and subdirectories within them is presented. Directories are denoted with a trailing `/`.

## Contributing and Support

Contributions are welcome! However, please keep in mind that this project is designed to write itself. Your main role will be to oversee the work, provide detailed prompts, and review the outcomes.

For support, please create an issue in the GitHub repository and the community will help you out.


```


# Task

Improve the documentation!

Add the following new info to the readme: There is a cli and a web interface. How to install How to run: &#34;npm start&#34; starts a local server on port 3000, where you can generate a prompt and auto-copy it to paste to chatgpt. How to use. What are tasks like &#34;feature/implement&#34; and &#34;bug/fix&#34;, &#34;refactor/&#34;. The cli uses the chatgpt api, so need an api key in OPENAI_API_KEY env var You need gpt-4 or a better model to get meaningful results (A note at the end).
Be concise!


# Output Format

Provide the new or modified file(s) as code blocks, each prefixed with its path and a colon.
JS files should only export a single function and be named after the function: e.g. `myFn.js` should export `myFn()`.
Always output full files, copying unchanged content.

E.g.:

texts/sample.txt:
```
A sample text file.
```


",77
