LC_ID,AcceptRate,Difficulty,pass_rate_default,runtime_pct_default,mem_pct_default,pass_rate_setting,runtime_pct_setting,mem_pct_setting
2418,0.801,Easy,1,0.7712,0.4194,0.4706,0,0
2644,0.483,Easy,1,0.64,0.96,1,0.2463,0.1895
2652,0.848,Easy,1,0.5446,0.2567,1,0.7342,0.2567
2729,0.515,Easy,1,0.9918,0.3014,0.9933,0,0
2733,0.767,Easy,1,0.5117,0.4654,1,0.3244,0.1098
2736,0.251,Hard,0.9922,0,0,0.9922,0,0
2739,0.386,Easy,1,0.8343,0.1276,0.12,0,0
2742,0.516,Hard,0.0899,0,0,0,0,0
2763,0.462,Hard,0.1144,0,0,0.9969,0,0
2778,0.791,Easy,1,0.5041,0.663,1,0.213,0.663
2779,0.368,Medium,0.0258,0,0,0.0274,0,0
2781,0.337,Hard,0.9436,0,0,0.8912,0,0
2784,0.499,Easy,1,0.9028,0.3916,0.9215,0,0
2788,0.72,Easy,1,0.5174,0.8115,1,0.9118,0.1771
2790,0.19,Hard,0.0044,0,0,0.0281,0,0
2798,0.877,Easy,1,0.7557,0.3181,1,0.913,0.3181
2799,0.636,Medium,0.9516,0,0,0.1015,0,0
2806,0.517,Easy,0.495,0,0,1,0.0641,0.2531
2808,0.257,Medium,0.0276,0,0,0.0035,0,0
2809,0.24,Hard,0.3331,0,0,0.3331,0,0
2810,0.823,Easy,1,0.2963,0.3765,0.1285,0,0
2815,0.576,Easy,1,0.2648,0.6374,0,0,0
2818,0.321,Hard,0,0,0,0,0,0
2824,0.867,Easy,1,0.3081,0.0846,1,0.359,0.0846
2825,0.473,Medium,0.5453,0,0,0.5453,0,0
2826,0.414,Medium,0.2223,0,0,0.2304,0,0
2827,0.169,Hard,0.963,0,0,1,0,0
2828,0.83,Easy,1,0.2915,0.3741,1,0.6236,0.9461
2829,0.608,Medium,0.012,0,0,0,0,0
2830,0.352,Medium,0.4069,0,0,0.4069,0,0
2831,0.344,Medium,0.0949,0,0,0.0949,0,0
2833,0.632,Easy,0.1757,0,0,0.1757,0,0
2834,0.412,Medium,0.0035,0,0,0,0,0
2835,0.309,Hard,0.004,0,0,0.0279,0,0
2839,0.464,Easy,0.8166,0,0,0.8166,0,0
2843,0.743,Easy,1,0.7624,0.494,0.9314,0,0
2844,0.374,Medium,0.0012,0,0,0,0,0
2848,0.747,Easy,0.9542,0,0,1,0.1665,0.2296
2851,0.28,Hard,0,0,0,0,0,0
2859,0.865,Easy,1,0.7447,0.4045,1,0.8965,0.4045
2860,0.502,Medium,0.1485,0,0,0.1224,0,0
2862,0.43,Hard,0.024,0,0,0.012,0,0
2875,0.303,Medium,0.5906,0,0,0.4168,0,0
2894,0.876,Easy,1,0.3965,0.0793,1,0.0592,0.7278
2896,0.251,Medium,0.5912,0,0,0.5665,0,0
2897,0.471,Hard,0.0076,0,0,0.0076,0,0
2900,0.649,Medium,1,0.8526,0.3005,1,0.1325,0.3005
2903,0.628,Easy,1,0.3646,0.1596,0.9923,0,0
2904,0.372,Medium,0.9302,0,0,0,0,0
2909,0.536,Medium,0.2753,0,0,0,0.2779,0
2910,0.241,Medium,0.119,0,0,0.2126,0,0
2917,0.742,Easy,1,0.4009,0.9657,1,0.8053,0.4701
2919,0.329,Medium,0.4123,0,0,0.0667,0,0
2923,0.712,Easy,0,0,0,0,0,0
