LC_ID,Setting,Pass/Fail,runtime_pct,mem_pct
2418,0,1,0.8309,0.3726
2644,0,1,0.8406,0.3
2644,1,1,0.6219,0.1688
2652,0,1,1,0.1648
2652,1,1,1,0.0578
2729,0,1,0.1828,0.639
2733,0,1,0.8542,0.1082
2733,1,1,0.9514,0.2126
2739,0,1,0.3667,0.7278
2778,0,1,0.0981,0.8098
2778,1,1,0.824,0.9894
2784,0,1,0.4289,0.1518
2788,0,1,0.0719,0.0573
2788,1,1,0.1157,0.0633
2798,0,1,0.2134,0.3126
2798,1,1,1,0.9668
2806,1,1,0.0659,0.1231
2810,0,0,0,0
2815,0,0,0,0
2824,0,1,0.8629,0.6519
2824,1,1,0.4921,0.9728
2827,1,0,0,0
2828,0,1,0.7099,0.5196
2828,1,1,0.9142,0.5196
2843,0,1,0.5523,0.4561
2848,1,1,0.9032,0.2496
2859,0,1,0.2223,0.252
2859,1,1,0.0519,0.0517
2894,0,1,1,0.755
2894,1,1,1,0.3892
2900,0,1,0.8372,0.6559
2900,1,1,0.1113,0.0987
2903,0,1,1,0.0849
2917,0,1,0.1026,0.9036
2917,1,1,0.8799,0.661
